Title,Description,Creator,Source,Publisher,Date,Contributor,Rights,Relation,Identifier,Language,XML,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8
2007: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1850-01-00,SKS,SKS,Lna 81,2007,ruotsi,http://localhost/uploads/2007_M._A._Castren.xml,http://localhost/uploads/lna081_080_f.jpg,,,,,,,
2008: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1849-06-10,SKS,SKS,Lna 81,2008,ruotsi,http://localhost/uploads/2008_M._A._Castren.xml,http://localhost/uploads/lna081_078_f.jpg,,,,,,,
2009: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1849-08-10,SKS,SKS,Lna 81,2009,ruotsi,http://localhost/uploads/2009_M._A._Castren.xml,http://localhost/uploads/lna081_079_f.jpg,,,,,,,
2010: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1839-07-12,SKS,SKS,Lna 80,2010,ruotsi,http://localhost/uploads/2010_M._A._Castren.xml,http://localhost/uploads/lna080_067_f.jpg,,,,,,,
2011: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1849-09-13,SKS,SKS,Lna 81,2011,ruotsi,http://localhost/uploads/2011_M._A._Castren.xml,http://localhost/uploads/lna081_079_f.jpg,,,,,,,
2012: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1850-04-14,SKS,SKS,Lna 81,2012,ruotsi,http://localhost/uploads/2012_M._A._Castren.xml,http://localhost/uploads/lna081_081_f.jpg,,,,,,,
2013: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1849-03-24,SKS,SKS,Lna 81,2013,ruotsi,http://localhost/uploads/2013_M._A._Castren.xml,http://localhost/uploads/lna081_078_f.jpg,,,,,,,
2014: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1849-04-20,SKS,SKS,Lna 81,2014,ruotsi,http://localhost/uploads/2014_M._A._Castren.xml,http://localhost/uploads/lna081_078_f.jpg,,,,,,,
2015: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1849-12-25,SKS,SKS,Lna 81,2015,ruotsi,http://localhost/uploads/2015_M._A._Castren.xml,http://localhost/uploads/lna081_080_f.jpg,,,,,,,
2016: Elias Lönnrot > Mathias Alexander Castrén,Kirjoituspaikka: puuttuu,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1849-01-31,SKS,SKS,Lna 81,2016,ruotsi,http://localhost/uploads/2016_M._A._Castren.xml,http://localhost/uploads/lna081_077_f.jpg,,,,,,,
728: Elias Lönnrot > Matthias Alexander Castrén,Kirjoituspaikka: Kajaani,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran kirjallisuusarkisto,SKS,1847-06-06,SKS,SKS,Lna 81,728,ruotsi,http://localhost/uploads/728_M.A._Castren.xml,http://localhost/uploads/lna081_026_f.jpg,http://localhost/uploads/lna081_027_f.jpg,,,,,,
